year,zone,substrate,SAV,EAV,algae,bottom.temp,bottom.sal,bottom.DO,depth,tw.m2,stick.m2,sculp.m2,total.m2,tw.stdlength,rain,fish.kill
2009,E,muck,4,0,0,14.5,10.2,2.8,0.19,88.7654321,4.444444444,0,93.20987654,32.4,26.65,0
2009,E,muck,2,1,0,15.1,10.2,5.8,0.145,28.92857143,0,0,28.92857143,21.68,26.65,0
2009,E,muck,1,0,0,16,7.7,0.2,0.175,0.37037037,0.12345679,0,0.49382716,22.66666667,26.65,0
2009,E,muck,0,0,1,17.2,10.2,13.13,0.15,6.315789474,0,0,6.315789474,18.52,26.65,0
2009,E,muck,1,0,1,17.7,10.2,14.3,0.1,5.555555556,0.138888889,0,5.694444444,19.24,26.65,0
2009,NW,muck,0,0,3,18.8,10.4,10.2,0.05,0.303030303,0,0,0.303030303,17.66666667,26.65,0
2009,NW,muck,4,0,0,16.7,10.2,0.7,0.25,5.595238095,0.952380952,0,6.547619048,30.88,26.65,0
2009,NW,muck,2,0,2,19.1,10.4,9.2,0.1,34.50980392,0.098039216,0,34.60784314,24.34615385,26.65,0
2009,NW,muck,1,0,0,17.4,10.4,8.1,0.125,1.547619048,0.119047619,0,1.666666667,20.92307692,26.65,0
2009,NW,mud,4,0,0,15.7,10.6,4.5,0.15,102.6388889,0.972222222,0,103.6111111,29.96153846,26.65,0
2009,W,muck,3,0,0,13.1,10.4,4.8,0.275,72.26666667,13.42222222,0.088888889,85.77777778,31.84615385,26.65,0
2009,W,sand,4,1,0,15.8,10.4,2.2,0.35,36.53333333,4.266666667,0.266666667,41.06666667,29.03846154,26.65,0
2009,W,sand,1,0,0,16,10.4,8.1,0.225,18.19047619,0.095238095,0,18.28571429,30.69230769,26.65,0
2009,W,sand,4,0,0,15.1,10.4,5.2,0.175,49.48148148,3.851851852,0,53.33333333,29.11538462,26.65,0
2009,W,sand,4,0,0,13.7,10.4,1.5,0.165,5.555555556,0.303030303,0,5.858585859,23.65384615,26.65,0
2008,E,muck,4,0,0,,,,0.28,4.29,0,0,4.29,27.1,29.94,0
2008,E,muck,4,0,0,,,,0.28,13.33,0.18,0,13.51,24.53333333,29.94,0
2008,E,mud,,,,,,,0.3,33.45,0.42,0,33.87,26.66666667,29.94,0
2008,E,muck,4,,,,,,0.26,18.99,0.24,0,19.23,22.4,29.94,0
2008,E,muck,4,,1,,,,0.24,3.63,0.09,0,3.72,26.69230769,29.94,0
2008,NW,gravel,4,,,,,,0.18,11.79,0.13,0,11.92,24.36666667,29.94,0
2008,NW,muck,4,0,0,,,,0.23,117.16,0.14,0,117.3,24.5,29.94,0
2008,NW,muck,4,0,0,,,,0.14,2.81,0,0,2.81,28.12,29.94,0
2008,NW,muck,4,0,0,,,,0.13,20.94,0.94,0,21.89,25,29.94,0
2008,NW,muck,4,0,0,,,,0.13,50.08,0.42,0,50.51,26.84375,29.94,0
2008,W,muck,2,0,0,,,,0.43,139.9,23.75,0.48,164.13,28,29.94,0
2008,W,sand,3,,,,,,0.3,54.94,11.98,0.12,67.04,26.1,29.94,0
2008,W,sand,3,0,0,,,,0.23,1.23,5.06,0,6.3,28.57142857,29.94,0
2008,W,sand,3,,,,,,0.3,2.26,6.52,2.78,11.57,25.61538462,29.94,0
2008,W,sand,1,0,0,,,,0.21,2.94,0,0,2.94,26.28125,29.94,0
2007,E,muck,3,0,0,19.6,6.3,6.5,0.3,12.85,0,0,12.85,25.9,30.52,1
2007,E,muck,1,1,0,18.4,6.3,4.3,0.4,3.5,0.07,0,3.57,26.2,30.52,1
2007,E,muck,3,0,0,18.7,6.3,6.8,0.28,2.02,0,0,2.02,26.3,30.52,1
2007,E,muck,2,1,0,20.5,6.3,7.55,0.28,1.01,0,0,1.01,21.9,30.52,1
2007,E,muck,1,1,0,19.9,6.3,7.2,0.3,1.95,0,0,1.95,26.2,30.52,1
2007,NW,muck,1,0,1,16.1,,4.4,0.35,8.51,0.1,0,8.62,22.8,30.52,1
2007,NW,muck,3,0,2,15.7,,3.6,0.23,0.15,0,0,0.15,24,30.52,1
2007,NW,muck,2,1,1,16.4,,3,0.24,0.31,0,0,0.31,26.25,30.52,1
2007,NW,muck,2,0,2,15.9,,4.25,0.28,6.93,0,0,6.93,25.1,30.52,1
2007,NW,muck,2,1,1,,,,0.23,6.01,0,0,6.01,22,30.52,1
2007,W,muck,1,1,0,21.2,6.4,1.01,0.24,0.98,0,0,0.98,27.6,30.52,1
2007,W,muck,1,0,0,20.2,6.3,8.24,0.4,3.95,0,0,3.95,26.5,30.52,1
2007,W,muck,1,1,0,20.6,6.4,9.37,0.65,20.74,0,0,20.74,24.5,30.52,1
2007,W,muck,1,1,1,15.7,,1.6,0.69,3.65,0,0,3.65,25,30.52,1
2007,W,sand,1,1,0,20.7,6.3,7.67,0.33,9.92,0,0,9.92,25.54545455,30.52,1
2006,E,muck,1,1,1,18.7,2.3,2.6,0.7,11.83,85.51,0.1,97.44,23.45833333,55.77,0
2006,E,muck,1,1,0,17.9,2.3,2,0.75,9.63,151.7,0,161.33,25.16,55.77,0
2006,NW,muck,1,1,4,18,2.6,11,0.43,10.36,16.07,0,26.43,25.46341463,55.77,0
2006,NW,mud,2,2,1,17.2,2.6,7.4,0.49,14.1,52.45,0,66.55,23.86666667,55.77,0
2006,NW,muck,3,1,1,,,,0.55,52.53,100.88,0,153.41,29,55.77,0
2006,NW,muck,3,1,1,,,,0.5,37.42,59.38,0,96.8,27.83333333,55.77,0
2006,W,muck,3,1,2,15.5,2.6,9,0.51,13.37,75.95,0.11,89.43,34.9,55.77,0
2006,W,sand,0,0,3,15.5,2.6,8.8,0.55,71.12,5.19,0,76.31,15.20833333,55.77,0
2006,W,muck,3,1,2,15.8,2.6,5.3,0.55,21.09,13.77,0.12,34.99,20.63333333,55.77,0
2006,W,sand,3,1,2,15.9,2.6,9.3,0.58,18.57,6.71,0,25.29,22.83333333,55.77,0
2006,W,sand,0,1,,16.25,2.6,11.5,0.65,20.33,4.03,0,24.36,16.2,55.77,0
2005,E,mud,1,1,3,16.4,3.6,0.11,0.375,10.46,0,0,10.46,19.75,49.96,1
2005,E,muck,0,1,2,16.1,3.6,0.04,0.5,4.64,0,0,4.64,21.8125,49.96,1
2005,E,muck,0,1,2,15.9,3.5,0.63,0.375,0.58,0,0,0.58,19,49.96,1
2005,E,muck,0,1,3,16.6,3.6,0.61,0.425,0.43,0.06,0.06,0.55,26,49.96,1
2005,E,muck,1,1,3,16.4,3.6,0.41,0.4,32.62,0.16,0,32.78,26.90625,49.96,1
2005,NW,gravel,2,1,4,18.1,3.8,0.02,0.4,78.31,0.74,0,79.04,23.5,49.96,1
2005,NW,muck,2,1,4,18.3,3.6,3.59,0.425,164.73,1.18,0,165.91,20.59375,49.96,1
2005,NW,muck,0,1,4,18.6,3.7,3.91,0.275,87.95,0.3,0,88.24,22.5625,49.96,1
2005,NW,muck,0,1,4,19.23,3.8,4.84,0.25,134.48,0.38,0,134.86,22.28125,49.96,1
2005,NW,mud,0,2,4,17.9,3.7,3.99,0.275,44.65,0.09,0,44.74,21.28125,49.96,1
2005,W,sand,0,0,4,17.5,3.9,4.92,0.125,41.92,0,0,41.92,17.13333333,49.96,1
2005,W,sand,1,0,2,17.7,3.8,4.21,0.025,70.49,0,0,70.49,17.125,49.96,1
2005,W,muck,1,0,4,15.7,3.7,0.93,0.725,94.39,2.11,0,96.51,17.1875,49.96,1
2005,W,sand,0,0,3,16,3.7,2.93,0.425,101.37,0,0,101.37,18.625,49.96,1
2000,E,muck,3,0,0,17.5,2.5,6.51,0.265,14.78,0,0,14.78,22.67741935,38.08,0
2000,NW,gravel,4,1,0,16,2.7,11.97,0.23,3.04,5.8,0,8.84,30.33333333,38.08,0
2000,NW,muck,0,1,0,15.9,2.7,5.64,0.335,45.71,10.61,0.41,56.73,23.5,38.08,0
2000,NW,muck,1,0,0,15.9,2.7,8.23,0.2,12.62,9.05,0.24,21.9,27.96969697,38.08,0
2000,NW,gravel,0,0,0,16.2,2.7,10.3,0.225,0.36,19.82,0.18,20.36,19.5,38.08,0
2000,NW,muck,4,2,0,15.5,2.7,10.06,0.4,16.83,35,1.33,53.17,26.91666667,38.08,0
2000,W,sand,3,0,0,16,2.7,6.33,0.3,11.52,21.82,0.2,33.54,28,38.08,0
2000,W,sand,4,0,0,17.4,2.7,11.92,0.315,4.67,16.17,0.17,21,26.46428571,38.08,0
2000,W,sand,0,0,0,15.7,2.7,7.44,0.525,0.13,0.53,0,0.67,19,38.08,0
2000,W,muck,4,3,0,16.5,2.7,9.52,0.35,24.79,40.42,0.63,65.83,23.94285714,38.08,0
2000,W,sand,4,0,0,14.5,2.7,6.83,0.275,2,13.67,0,15.67,35.16666667,38.08,0
1999,E,mud,1,0,0,22.4,1.2,13.92,0.305,5.24,12.48,3.05,20.77,28.75,35.52,0
1999,E,muck,0,0,0,18.7,1.2,4.19,0.56,0,108.39,1.84,110.23,,35.52,0
1999,E,muck,3,0,0,16.4,1.3,8.57,0.275,53.58,87.04,2.59,143.21,26.24242424,35.52,0
1999,E,muck,1,0,0,,,,0.31,26.67,53.33,0.45,80.45,22.34375,35.52,0
1999,E,muck,1,0,1,18.7,1.3,5.26,0.2,17.99,0.75,0,18.74,20.3125,35.52,0
1999,NW,gravel,1,0,4,16.9,1.5,9.16,0.415,1.71,1.33,11.81,14.86,26.44444444,35.52,0
1999,NW,gravel,4,0,0,17.4,1.5,8.24,0.275,0.67,0.29,11.52,12.48,23.42857143,35.52,0
1999,NW,muck,4,1,0,18.1,1.5,5.67,0.15,1.13,0,4.41,5.54,27,35.52,0
1999,NW,muck,3,1,0,18,1.5,9.92,0.35,3.54,2.4,6.88,12.81,24.5625,35.52,0
1999,NW,muck,1,0,0,,,,0.3,5.61,0.61,3.64,9.85,20.28125,35.52,0
1999,NW,muck,0,1,0,18.1,1.5,4.92,0.35,4.91,6.94,3.43,15.28,27.65625,35.52,0
1999,NW,mud,0,0,3,16.4,1.5,2.96,0.41,15.7,8,3.85,27.56,27.72727273,35.52,0
1999,W,sand,0,1,0,16.5,1.5,8.96,0.225,14.66,0.63,0.9,16.19,20.15625,35.52,0
1999,W,sand,0,1,0,16.9,1.5,8.24,0.3,11.62,0,11.71,23.33,23.5,35.52,0
1999,W,sand,1,2,0,17.4,1.5,7.59,0.135,3.56,0,0.73,4.29,19.34375,35.52,0
1999,W,sand,3,0,0,17.3,1.5,7.56,0.275,6.81,0,5.69,12.5,17.71875,35.52,0
1999,W,sand,0,2,0,17.5,1.5,7.11,0.375,0.73,0,2.3,3.03,19.83333333,35.52,0
1999,W,sand,0,1,0,17.6,1.5,8.51,0.275,6.76,0.39,24.83,31.98,26.42424242,35.52,0
1999,W,sand,1,1,0,17.9,1.5,11.24,0.125,23.81,0.24,4.52,28.57,30.15625,35.52,0
1999,W,sand,4,0,0,17.6,1.5,11.78,0.535,20.28,1.11,4.58,25.97,24.24324324,35.52,0
1998,W,muck,4,0,0,18,3,9.39,0.23,1.67,4.73,0,6.4,17.33333333,67.01,0
1998,W,sand,1,1,1,17,3,9.59,0.63,1.13,0.08,13.7,14.91,16.16666667,67.01,0
1998,W,sand,3,1,0,17,3,9.39,0.47,2.71,0.15,8.15,11.01,16.71875,67.01,0
1998,W,muck,3,1,0,,,9.95,,2.4,0.63,1.8,4.83,16.93103448,67.01,0
1998,W,sand,1,0,0,18,3,,0.15,2.84,0.09,12.63,15.56,17.16666667,67.01,0
1998,W,sand,0,0,1,17,,10.14,0.3,8.88,0.25,0.55,9.68,24.96875,67.01,0
1998,W,sand,1,1,1,17,3,9.78,0.2,4.2,0.33,1.95,6.48,21.61538462,67.01,0
1998,W,sand,1,1,1,17,3,9.98,0.19,7.38,0.05,27.59,35.02,23.23333333,67.01,0
1998,NW,mud,1,1,4,18,2.9,8.81,0.47,28.36,2.11,5.89,36.36,23.2,67.01,0
1998,NW,mud,2,0,4,17,3,8.02,0.4,9.24,2.08,6.24,17.56,23.66666667,67.01,0
1998,NW,muck,3,1,4,18,3,9.2,0.45,10.05,0.27,3.34,13.66,20.46666667,67.01,0
1998,NW,muck,2,1,4,18,3,10.17,0.33,8.86,0.58,5,14.44,17.53333333,67.01,0
1998,NW,muck,1,2,0,18,3,,0.41,5.96,3.59,5.32,14.87,19.34782609,67.01,0
1998,NW,muck,1,1,0,19,3,10.76,0.44,17.54,1.16,2.33,21.03,16.57575758,67.01,0
1998,NW,muck,0,2,0,20,3,11.94,0.36,0.73,2.48,1.94,5.15,19.25806452,67.01,0
1998,NW,muck,1,1,0,18.5,3,11.93,0.52,1.77,3.17,0.16,5.1,17.36666667,67.01,0
1998,E,muck,1,2,0,16.5,2.8,4.9,0.38,3.93,1.62,0,5.55,17.96875,67.01,0
1998,E,muck,2,1,0,16.5,3,5.28,0.41,2.7,3.3,0,6,18.66666667,67.01,0
1998,E,gravel,1,2,0,17,3,6.65,0.42,1.88,0.83,0,2.71,14.70588235,67.01,0
1998,E,mud,2,2,0,17,2.6,6.47,0.17,0,0.13,0,0.13,,67.01,0
1998,E,muck,1,2,0,17,2.8,7.25,0.4,0.15,0.44,0.74,1.33,13,67.01,0
1998,E,muck,0,2,0,17.5,3,7.04,0.53,7.24,7.01,0.11,14.36,18.86666667,67.01,0
1998,E,muck,0,3,0,17.5,3,7.63,0.48,17.42,7.81,0.1,25.33,16.96666667,67.01,0
1998,E,muck,1,1,0,18.5,3,8.41,0.59,5.21,29.58,1.88,36.67,,67.01,0
1997,W,mud,2,0,2,21.5,6.5,10.56,0.25,30.19,0.19,0,30.37,24.14,32.85,0
1997,W,sand,2,0,2,21.5,6.5,9.79,0.3,50.33,0,0.56,50.89,22.8,32.85,0
1997,W,sand,0,0,0,20.5,7,9.19,0.325,17.69,0.09,0.34,18.12,21.88,32.85,0
1997,W,sand,0,0,0,19,6.5,5.76,0.225,14.47,0.08,1.16,15.71,22.94,32.85,0
1997,W,sand,0,0,0,19.5,6.5,5.56,0.225,16.51,0,0.63,17.14,20.54,32.85,0
1997,W,sand,2,0,0,19.5,6.5,6.04,0.3,20.87,0.78,0.87,22.51,26.25806452,32.85,0
1997,W,sand,0,0,0,19.5,6.5,5.28,0.15,5.44,0,0.05,5.49,24.32,32.85,0
1997,W,sand,0,0,2,19,6.5,4.41,0.175,3.89,0.05,1.53,5.46,31.4,32.85,0
1997,NW,muck,0,2,0,19.5,6,0.96,0.3,0,0.13,1.47,1.6,,32.85,0
1997,NW,gravel,2,2,0,20.5,6.5,8.64,,0.56,1.89,3.44,5.89,21.8,32.85,0
1997,NW,muck,0,2,0,21,6,3.85,0.28,0.11,0.11,5.56,5.78,20,32.85,0
1997,NW,muck,2,2,0,22,6,7.7,0.27,0.28,0.14,2.64,3.06,18.5,32.85,0
1997,NW,muck,2,2,0,22.5,6,9.62,1.05,2,0.22,13.22,15.44,36.11111111,32.85,0
1997,E,muck,1,2,0,20,5,0.97,0.25,1.08,0,0,1.08,29.5,32.85,0
1997,E,muck,0,0,0,20,5.5,1.54,0.1,2.4,0.1,0,2.5,29.73913043,32.85,0
1997,E,muck,0,0,0,22,6,3.08,0.075,0.17,0,0,0.17,25,32.85,0
1997,E,cobble,2,2,0,21.5,6.5,7.68,0.305,0.1,0.21,2.87,3.18,46,32.85,0
1997,E,mud,2,0,0,19,7,5.17,0.175,0.07,0.29,0.65,1.01,33,32.85,0
1997,E,muck,0,2,0,18,6.25,5.76,0.135,1.3,0.19,2.04,3.52,32.57142857,32.85,0
1997,E,muck,1,2,0,21,6,5,0.195,1.03,0.26,1.54,2.82,37.5,32.85,0
1996,W,Corophium,1,0,0,14.5,9,1.2,0.37,49.86,0.21,1.04,51.11,,48.4,1
1996,W,sand,0,0,0,15.5,8.8,1.2,0.2,56.13,1.17,2.16,59.46,20.8852459,48.4,1
1996,W,sand,0,0,0,16.5,9,0.8,0.2,45.32,1.43,0.08,46.83,20.16363636,48.4,1
1996,W,sand,0,0,0,17,7.3,0.8,0.41,18.23,0.1,0,18.33,21.58823529,48.4,1
1996,W,sand,0,0,0,18.1,7.3,1,0.13,1.02,0,0,1.02,19.84615385,48.4,1
1996,NW,muck,3,1,0,17.9,7.3,0.6,0.33,56.52,144.74,0.96,202.22,21.69811321,48.4,1
1996,NW,gravel,0,0,0,18.9,7.3,0.7,0.24,149.24,1.43,0,150.67,22.19642857,48.4,1
1996,NW,muck,2,2,0,20,7.3,0.2,0.24,52.96,68.52,0.12,121.6,25.67307692,48.4,1
1996,NW,mud,1,2,0,20.5,7.4,0.6,0.2,21.78,17,0.56,39.33,26.22413793,48.4,1
1996,E,muck,1,1,0,16.7,6.1,0.5,0.28,8.31,2.52,0,10.83,18.30188679,48.4,1
1996,E,mud,2,1,0,18.5,7,0.6,0.18,33.67,7.78,0,41.44,17,48.4,1
1996,E,mud,1,1,0,19.6,6,0.4,0.24,8.44,36.89,0,45.33,17.2962963,48.4,1
1995,W,sand,0,0,,,,,0.9,0.31,0.53,3.33,4.17,30,57.07,0
1995,W,sand,0,0,,,,,0.9,0.2,0.2,2.77,3.17,31.2,57.07,0
1995,W,sand,0,0,,,,,0.7,0.18,0.07,0.97,1.22,29,57.07,0
1995,W,sand,0,0,,18,5,,0.45,0.09,0.22,0,0.31,,57.07,0
1995,W,sand,0,0,,18,5,,0.85,0.08,0.04,4.31,4.44,43.5,57.07,0
1995,W,sand,0,0,,18,5,,0.45,0.04,0,0,0.04,,57.07,0
1995,W,sand,0,0,,,,,0.1,0,0,0,0,,57.07,0
1995,NW,muck,3,1,,,,,0.85,14.11214953,12.24299065,4.252336449,30.61,,57.07,0
1995,NW,muck,3,0,,16,5,,0.75,7.01,0.75,5.7,13.46,33.69230769,57.07,0
1995,NW,muck,1,0,,18,5,,0.75,4.35,1.34,0.81,6.5,31.85,57.07,0
1995,E,muck,1,0,,,,,0.35,0.19,2.04,14.69,16.92,23.66666667,57.07,0
1995,E,muck,1,0,,,,,0.5,0.1,1.75,11.5,13.35,37,57.07,0
1995,E,muck,2,1,,17,4,,0.55,0,1.27,10.74,12.01,,57.07,0
1995,E,muck,2,1,,,,,0.41,0,2.33,5.86,8.19,,57.07,0
